Airline,ARPT,Count of YEAR,Average of ARR_DELAY_NEW,Average of ARR_DELAY,Average of DEP_DELAY_NEW,Average of DEP_DELAY
American Airline,LAX,18766,15.71530154,6.045498289,16.50586166,14.69636577
American Airline,SFO,7288,18.41310934,7.935554944,18.77291438,15.81188255
American Airline,ORD,6938,21.12115079,13.13387307,20.70351686,19.24228884
American Airline,JFK,6048,14.63655985,-0.239913664,12.39087302,8.805886243
American Airline,SEA,6045,16.94002326,8.349892009,16.50587262,13.77733664
American Airline,PHL,4413,19.6939055,10.4788861,18.53455699,16.26308634
American Airline,DFW,4122,17.2148076,10.72747199,18.65041242,17.47452693
American Airline,PHX,4080,15.05181729,8.392927308,14.55245098,12.17867647
American Airline,PDX,3172,12.72148289,4.782953105,12.09836066,9.422446406
American Airline,LAS,3006,15.98201798,6.238428238,16.20558882,13.25482369
American Airline,BOS,1734,15.42832066,2.124634289,14.82698962,11.73010381
American Airline,HNL,1576,15.34265734,3.275270184,14.09898477,9.213832487
American Airline,OGG,993,13.19153226,-0.876008065,12.23363545,7.069486405
American Airline,DCA,726,13.91489362,0.070921986,12.68319559,10.37603306
American Airline,IAD,515,13.96484375,1.3125,11.62912621,8.361165049
American Airline,ANC,129,23.65116279,13.09302326,28.62015504,27.15503876
Alaska Airlines,SEA,68591,10.25240589,1.481542692,9.739324401,6.63209459
Alaska Airlines,SFO,22444,14.5205663,6.06355232,13.20985564,9.303154518
Alaska Airlines,LAX,19987,11.98721869,2.479524836,11.00375244,6.51398409
Alaska Airlines,PDX,18870,9.052016365,0.598267892,7.648383678,2.788765236
Alaska Airlines,ANC,15310,5.564331712,-4.15343672,4.917896799,-1.260418027
Alaska Airlines,SAN,9732,11.24368622,2.308937223,10.58415536,6.695334977
Alaska Airlines,LAS,7878,13.24002034,4.948004068,11.6547347,5.992003046
Alaska Airlines,SJC,7389,10.43234458,1.642150887,8.06198403,2.491270808
Alaska Airlines,JFK,5025,14.68312262,1.517760385,12.39701493,8.436218905
Alaska Airlines,JNU,4345,8.742182071,-0.242761177,7.91990794,-0.192174914
Alaska Airlines,SNA,4290,7.390278102,-2.50011685,6.1,-1.312820513
Alaska Airlines,FAI,4061,5.199605231,-6.564026647,4.776902241,-4.067224821
Alaska Airlines,EWR,3951,18.92784294,6.188934217,17.07188054,12.79422931
